역명,외부↔대합실,대합실↔승강장,환승통로,이동식 안전발판,역무실 연락처
신설동,L(10번),"E, L",1호선-L,×,02-6110- 1371
용두,"E(3,4번)",E,,?,02-6110-1361
신답,R(지상역 1번)E(1번),E,,?,02-6110-1351
용답,R(지상역 1번),성수-L신답-E,,×,02-6110- 1341
성수,"E(1,4번)",L,2호선-같은 층,×,02-6110- 2111
뚝섬,"E(3,4번)",E,,×,02-6110- 2101
한양대,"E(2,4번)",E,,?,02-6110-2091
왕십리,E(5호선 4번),잠실-L시청-E,중앙선-E 5호선-E,?,02-2291-7787
상왕십리,E(2번),E,,?,02-6110-2071
신당,E(2번),E,*6호선-L,?,02-6110-2061
동대문역사문화공원,E(1번),E,4호선-E 5호선-E-L,×,02-6110 - 2051
을지로4가,E(8번),E,5호선-L,×,02-6110 - 2041
을지로3가,E(10번),E,*3호선-E,?,02-6110-2031
을지로입구,E(1번),E,,?,02-6110-2021
시청,E(9번),E,*1호선-ER(의정부) E(인천)행,?,02-6110-1321
충정로,E(5번),E,5호선-E,?,02-6110-2431
아현,E(3번),E,,?,02-6110-2421
이대,E(7번),E,,?,02-6110-2411
신촌(지하),E(4번),E,,?,02-6110-2401
홍대입구,E(5번),E,,×,02-6110 - 2391
합정,"E(3,4번사이)",E,6호선-E,×,02-6110 - 2381
당산,E(4번),E,9호선-E,×,02-6110 - 2371
영등포구청,E(2번),E,*5호선-외부환승E,?,02-6110-2361
문래,E(5번),E,,?,02-6110-2351
신도림,L(2번),L,1호선-L,?,02-830-7788
도림천,"R(지상역 1,2번)",E,,×,02-6110 - 2441
양천구청,E (1번),E,,×,02-6110 - 2451
신정네거리,E(2번),E,,×,02-6110 - 2461
까치산,L(2번),L,5호선-L(김포공항) 평지(상일동),×,02-6110 - 2471
대림,"E(3,4사이,8번)",E,7호선-L,×,02-6110 - 2331
구로디지털단지,E(1번),E,,?,02-6110-2321
신대방,E(1번),E,,×,02-6110 - 2311
신림,E(7번),E,,×,02-6110 - 2301
봉천,E(4번),E,,?,02-6110-2291
서울대입구,"E(5,6번)",E,,?,02-6110-2281
낙성대,E(6번),E,,?,02-6110-2271
사당,E(14번),E,4호선-E,×,02-6110 - 2261
방배,E(3번),E,,?,02-6110-2251
서초,E(1번),E,,?,02-6110-2241
교대,E(5번),E,3호선-L,×,02-6110 - 2231
강남,"E(1,6번)",E,,?,02-6110-2221
역삼,"E(1,5번)",E,,×,02-6110 - 2211
선릉,"E(1,5번)",E,분당선-E이용,?,02-6110-2201
삼성,"E(1, 8번)",E,,?,02-6110-2191
종합운동장,E(6번),E,,?,02-6110-2181
신천,E(7번),E,,×,02-6110 - 2171
잠실,"E(6번,8번)-L",E,8호선-E이용,×,02-6110 - 2161
성내,R(지상역 1번),E,,×,02-6110 - 2151
강변,R(지상역 1번),E,,×,02-6110 - 2141
구의,"E(2,3번)",E,,?,02-6110-2131
건대입구,E(1번),L,7호선-L이용,×,02-6110 - 2121
